fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
0.5486725663716815,0.2397260273972602,0.5443037974683544,0.0923076923076923,0.2374350086655113,0.3661971830985915,0.2120141342756183,0.6191926884996128,0.2912621359223299,0.2606060606060606,0.3692307692307693
0.3097345132743362,0.4794520547945205,0.0,0.2461538461538461,0.1057192374350086,0.056338028169014,0.0282685512367491,0.6450875856816392,0.4757281553398056,0.1212121212121212,0.1846153846153845
0.3982300884955752,0.1164383561643835,0.4177215189873418,0.0884615384615384,0.0502599653379549,0.1690140845070422,0.0742049469964664,0.3876618431073881,0.3786407766990289,0.3090909090909091,0.5076923076923076
0.495575221238938,0.3595890410958904,0.4556962025316455,0.0692307692307692,0.0329289428076256,0.056338028169014,0.0282685512367491,0.6191926884996128,0.2912621359223299,0.0545454545454545,0.2461538461538461
0.6725663716814159,0.226027397260274,0.620253164556962,0.0384615384615384,0.07105719237435,0.028169014084507,0.0,0.520182787509517,0.2524271844660192,0.1818181818181818,0.3076923076923077
0.3185840707964601,0.3561643835616438,0.3417721518987341,0.0846153846153846,0.1057192374350086,0.056338028169014,0.2508833922261484,0.563594821020557,0.2524271844660192,0.1757575757575757,0.1076923076923075
0.4159292035398231,0.4075342465753425,0.3037974683544303,0.0923076923076923,0.0623916811091854,0.056338028169014,0.0494699646643109,0.4973343488194968,0.2427184466019418,0.1575757575757575,0.2307692307692307
0.4159292035398231,0.1643835616438356,0.4936708860759494,0.0461538461538461,0.0797227036395147,0.5633802816901409,0.1731448763250883,0.4912414318354846,0.5825242718446604,0.2424242424242424,0.3846153846153846
0.3716814159292036,0.571917808219178,0.0632911392405063,0.0692307692307692,0.07105719237435,0.056338028169014,0.0459363957597173,0.4638233054074638,0.4174757281553396,0.0666666666666666,0.1846153846153845
0.2212389380530973,0.4212328767123288,0.2025316455696202,0.0769230769230769,0.1143847487001733,0.1971830985915492,0.2508833922261484,0.4973343488194968,0.3883495145631068,0.1878787878787879,0.1384615384615385
0.3539823008849557,0.273972602739726,0.4810126582278481,0.0461538461538461,0.1074523396880416,0.056338028169014,0.0424028268551236,0.5019040365574975,0.3203883495145632,0.1151515151515151,0.1538461538461538
0.4424778761061946,0.3835616438356165,0.3037974683544303,0.1,0.0918544194107452,0.056338028169014,0.07773851590106,0.6648895658796617,0.2621359223300971,0.1636363636363636,0.2769230769230767
0.4247787610619469,0.2602739726027397,0.430379746835443,0.2076923076923077,0.0831889081455804,0.056338028169014,0.0282685512367491,0.657273419649655,0.4077669902912621,0.1151515151515151,0.3538461538461537
0.0353982300884956,0.6301369863013699,0.3037974683544303,0.0538461538461538,0.0277296360485268,0.4366197183098591,0.3180212014134275,0.2536176694592477,0.8446601941747576,0.1757575757575757,0.4769230769230769
0.0707964601769912,0.3150684931506849,0.1012658227848101,0.0769230769230769,0.0433275563258232,0.2676056338028169,0.0883392226148409,0.3632901751713564,0.6116504854368933,0.1878787878787879,0.2769230769230767
0.2566371681415929,0.1301369863013698,0.5189873417721519,0.1153846153846153,0.0537261698440208,0.4647887323943662,0.1908127208480565,0.3693830921553686,0.4563106796116503,0.3151515151515152,0.4615384615384615
0.3185840707964601,0.1095890410958904,0.5063291139240507,0.1153846153846153,0.0311958405545927,0.0422535211267605,0.0141342756183745,0.2658035034272635,0.4466019417475728,0.2242424242424242,0.676923076923077
0.4247787610619469,0.1917808219178082,0.5949367088607594,0.123076923076923,0.0918544194107452,0.0704225352112676,0.0494699646643109,0.5826351865955823,0.2718446601941746,0.103030303030303,0.323076923076923
0.1504424778761062,0.3287671232876712,0.1265822784810126,0.0538461538461538,0.024263431542461,0.1549295774647887,0.0706713780918728,0.2277227722772299,0.6601941747572814,0.1090909090909091,0.5692307692307691
0.247787610619469,0.3219178082191781,0.1012658227848101,0.2692307692307693,0.0901213171577123,0.0704225352112676,0.0812720848056537,0.5582635186595506,0.495145631067961,0.103030303030303,0.0923076923076922
0.2212389380530973,0.3698630136986301,0.0,0.1153846153846153,0.0311958405545927,0.0704225352112676,0.0176678445229682,0.2368621477532312,0.4660194174757282,0.2,0.6615384615384614
0.3893805309734513,0.2808219178082192,0.620253164556962,0.0769230769230769,0.2374350086655113,0.0704225352112676,0.0671378091872791,0.5658796648895658,0.3883495145631068,0.1696969696969696,0.1538461538461538
0.2566371681415929,0.2671232876712329,0.0253164556962025,0.0615384615384615,0.0866551126516464,0.1690140845070422,0.0883392226148409,0.4044173648134045,0.4757281553398056,0.1272727272727273,0.323076923076923
